Name,AdapterType,Label,MacAddress,MacAddressType,PortGroupName,PortGroupType,DVSwitchName,IPAddress,PrefixLength,DHCP,Connected,StartConnected,AllowGuestControl,Shares,ShareLevel,Status
Distributed Router-0,vmxnet3,Network adapter 1,00:50:56:9c:67:b2,assigned,10-cmi-mgmt,Distributed,vds-mgmt,fe80::250:56ff:fe9c:67b2,64,"""""",TRUE,TRUE,TRUE,50,normal,ok
Distributed Router-0,vmxnet3,Network adapter 2,00:50:56:9c:7f:96,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
Distributed Router-0,vmxnet3,Network adapter 5,00:50:56:9c:66:0d,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
Distributed Router-0,vmxnet3,Network adapter 3,00:50:56:9c:8d:9e,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
vlablog001,vmxnet3,Network adapter 1,00:50:56:9c:cc:7e,assigned,10-cmi-mgmt,Distributed,vds-mgmt,192.168.1.17|fe80::250:56ff:fe9c:cc7e,24|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
Analytics VM,vmxnet3,Network adapter 1,00:50:56:9c:b5:53,assigned,10-cmi-mgmt,Distributed,vds-mgmt,192.168.1.18|fe80::250:56ff:fe9c:b553,24|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
NSX_Controller_2cf1caf5-ff94-49fa-9f75-0cd6652d1314,vmxnet3,Network adapter 1,00:50:56:9c:9e:dc,assigned,10-cmi-mgmt,Distributed,vds-mgmt,192.168.1.110,24,"""""",TRUE,TRUE,TRUE,50,normal,ok
UI VM,vmxnet3,Network adapter 1,00:50:56:9c:ac:1d,assigned,10-cmi-mgmt,Distributed,vds-mgmt,192.168.1.16|fe80::250:56ff:fe9c:ac1d,24|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
482d591b-7787-47e6-bad8-17af589439c3,e1000,Network adapter 1,00:50:56:9c:08:5a,assigned,pg-photon-mgmt,Standard,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
31e53716-753d-4015-bb26-fd16b67ba4cf,e1000,Network adapter 1,00:50:56:9c:eb:2e,assigned,pg-photon-mgmt,Standard,vds-mgmt,"""""","""""","""""",TRUE,TRUE,TRUE,50,normal,ok
